Carpark Number,Carpark Type,Type of Parking System,Address
HG58,SURFACE CAR PARK,COUPON PARKING,DEFU LANE 8
HG59,SURFACE CAR PARK,COUPON PARKING,DEFU LANE 9
HG60,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 548A HOUGANG STREET 51
HG61,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 559A HOUGANG STREET 51
HG62,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 566A HOUGANG STREET 51
HG63,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 465A UPPER SERANGOON ROAD
HG64,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 682-684 HOUGANG STREET 61
HG65,SURFACE CAR PARK,COUPON PARKING,DEFU LANE 11
HG66,SURFACE CAR PARK,COUPON PARKING,DEFU LANE 12
HG67,SURFACE CAR PARK,ELECTRONIC PARKING,"BLK 401-413, 460-463 HOUGANG AVENUE 10"
HG68,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 838A HOUGANG CENTRAL
HG69,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 850A HOUGANG CENTRAL
HG7,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 109-127 HOUGANG AVENUE 1
HG70,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 567A HOUGANG STREET 51
HG71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 574A HOUGANG STREET 51
HG72,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 576A HOUGANG AVENUE 4
HG73,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 909A HOUGANG STREET 91
HG74,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 166A HOUGANG AVENUE 1
HG75,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 172A HOUGANG AVENUE 1
HG76,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 159A HOUGANG STREET 11
HG77,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 919A HOUGANG AVENUE 4
HG78,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 925A HOUGANG STREET 91
HG79,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 931A HOUGANG STREET 91
HG80,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 941A HOUGANG STREET 92
HG81,SURFACE CAR PARK,COUPON PARKING,DEFU LANE 1
HG82,SURFACE CAR PARK,COUPON PARKING,DEFU LANE 2
HG83,SURFACE CAR PARK,COUPON PARKING,DEFU LANE 3
HG84,SURFACE CAR PARK,COUPON PARKING,DEFU LANE 5
HG85,SURFACE CAR PARK,COUPON PARKING,DEFU LANE 6
HG86,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 946A HOUGANG STREET 92
HG87,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 955A HOUGANG AVENUE 9
HG88,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 699D HOUGANG STREET 52
HG89,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 435A HOUGANG AVENUE 8
HG9,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 201-204 HOUGANG STREET 21
HG9T,SURFACE CAR PARK,ELECTRONIC PARKING,BLK 206 HOUGANG STREET 21
HG90,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 966A HOUGANG AVENUE 9
HG91,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 971A HOUGANG STREET 91
HG92,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 373A HOUGANG STREET 31
HG93,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 980 BUANGKOK CRESCENT
HG94,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,BLK 984 BUANGKOK LINK
